id,age,status,gender,drinks,drugs,education,ethnicity,income,last_online,location,offspring,smokes,city,country,age_group,state,messages_sent,profile_completion,account_age,preferred_age_range,relationship_intent,work_industry,self_rated_attractiveness
1,22,single,m,socially,never,working on college/university,"asian,white",-1,28/06/2012,"south san francisco, california","doesn't have kids, but might want them",sometimes,, california,18-24,california,102,59,3,18-27,Marriage,Healthcare,2
2,35,single,m,often,sometimes,working on space camp,white,80000,29/06/2012,"oakland, california","doesn't have kids, but might want them",no,, california,35-44,california,435,77,1,30-40,Marriage,Healthcare,2
3,38,available,m,socially,,graduated from masters program,,-1,27/06/2012,"san francisco, california",,no,, california,35-44,california,348,90,3,33-43,Casual,Healthcare,7
4,23,single,m,socially,,working on college/university,white,20000,28/06/2012,"berkeley, california",doesn't want kids,no,, california,18-24,california,270,67,3,18-28,Serious,Healthcare,9
5,29,single,m,socially,never,graduated from college/university,"asian,black,other",-1,27/06/2012,"san francisco, california",,no,, california,25-34,california,106,58,4,24-34,Marriage,Healthcare,8
6,29,single,m,socially,,graduated from college/university,white,-1,29/06/2012,"san francisco, california","doesn't have kids, but might want them",no,, california,25-34,california,71,71,1,24-34,Casual,Healthcare,4
7,32,single,f,socially,never,graduated from college/university,"white,other",-1,25/06/2012,"san francisco, california",,,, california,25-34,california,188,59,5,27-37,Serious,Healthcare,2
8,31,single,f,socially,never,graduated from college/university,white,-1,29/06/2012,"san francisco, california","doesn't have kids, but wants them",no,, california,25-34,california,20,89,4,26-36,Serious,Healthcare,10
9,24,single,f,socially,,graduated from college/university,white,-1,29/06/2012,"belvedere tiburon, california",doesn't have kids,when drinking,, california,25-34,california,102,72,5,19-29,Serious,Healthcare,3
10,37,single,m,not at all,never,working on two-year college,white,-1,28/06/2012,"san mateo, california",,no,, california,35-44,california,121,92,6,32-42,Serious,Healthcare,6
11,35,available,m,socially,,,white,-1,04/06/2012,"san francisco, california",,yes,, california,35-44,california,466,62,3,30-40,Casual,Healthcare,4
12,28,seeing someone,m,socially,never,graduated from college/university,white,40000,22/05/2012,"daly city, california",,no,, california,25-34,california,214,73,3,23-33,Serious,Healthcare,9
13,24,single,m,often,,,white,-1,28/05/2012,"san francisco, california",doesn't have kids,,, california,25-34,california,330,62,5,19-29,Casual,Healthcare,7
14,30,single,f,socially,never,graduated from high school,white,30000,13/06/2012,"san francisco, california",,no,, california,25-34,california,458,97,5,25-35,Serious,Healthcare,5
15,29,single,f,socially,never,working on college/university,"hispani,white",50000,29/06/2012,"san leandro, california","doesn't have kids, but wants them",no,, california,25-34,california,87,94,9,24-34,Marriage,Healthcare,2
16,39,single,f,socially,,graduated from college/university,white,-1,29/06/2012,"san francisco, california",doesn't have kids,no,, california,35-44,california,372,74,7,34-44,Marriage,Healthcare,5
17,33,single,m,socially,,working on masters program,white,-1,29/06/2012,"oakland, california",,sometimes,, california,25-34,california,99,93,6,28-38,Casual,Tech,6
18,26,single,f,socially,never,working on college/university,hispani,-1,29/06/2012,"san francisco, california",doesn't have kids,no,, california,25-34,california,359,96,2,21-31,Casual,Tech,7
19,31,single,m,rarely,never,graduated from space camp,white,-1,29/06/2012,"san francisco, california",,no,, california,25-34,california,151,78,9,26-36,Marriage,Tech,10
20,33,single,m,socially,never,graduated from masters program,white,-1,27/06/2012,"san francisco, california",doesn't have kids,no,, california,25-34,california,130,65,3,28-38,Marriage,Tech,2
21,27,single,f,socially,never,graduated from college/university,white,-1,26/06/2012,"san francisco, california",,no,, california,25-34,california,149,89,7,22-32,Serious,Tech,1
22,22,single,f,socially,never,working on college/university,,-1,15/06/2012,"san francisco, california","doesn't have kids, but might want them",no,, california,18-24,california,308,55,8,18-27,Casual,Tech,3
23,30,single,m,socially,never,graduated from college/university,white,-1,28/06/2012,"san francisco, california","doesn't have kids, but might want them",no,, california,25-34,california,257,57,9,25-35,Casual,Tech,3
24,30,single,m,not at all,never,graduated from college/university,white,-1,17/05/2012,"san francisco, california",,no,, california,25-34,california,343,83,5,25-35,Marriage,Tech,10
25,33,single,m,socially,sometimes,graduated from college/university,white,-1,29/06/2012,"oakland, california",,sometimes,, california,25-34,california,491,67,6,28-38,Casual,Tech,7
26,28,single,m,rarely,never,graduated from college/university,"asian,white",-1,26/06/2012,"atherton, california","doesn't have kids, but wants them",no,, california,25-34,california,413,92,6,23-33,Marriage,Tech,5
27,22,single,m,socially,never,working on college/university,"pacificislander,white",-1,10/06/2012,"san francisco, california",,trying to quit,, california,18-24,california,293,81,5,18-27,Marriage,Tech,1
28,22,single,m,socially,never,,asian,-1,25/06/2012,"oakland, california",,no,, california,18-24,california,385,98,7,18-27,Marriage,Tech,5
29,30,single,m,socially,,graduated from masters program,,-1,19/06/2012,"san francisco, california",,no,, california,25-34,california,191,59,1,25-35,Serious,Tech,9
30,32,single,m,socially,sometimes,graduated from college/university,white,-1,29/06/2012,"san francisco, california",,no,, california,25-34,california,443,83,5,27-37,Marriage,Tech,9
31,27,single,f,socially,,working on college/university,white,-1,10/11/2011,"san francisco, california",,trying to quit,, california,25-34,california,276,72,6,22-32,Casual,Tech,6
32,27,single,m,socially,never,graduated from college/university,,-1,27/06/2012,"san francisco, california","doesn't have kids, but wants them",no,, california,25-34,california,160,68,3,22-32,Marriage,Tech,4
33,38,single,f,socially,never,graduated from college/university,white,-1,25/05/2012,"san leandro, california",doesn't have kids,no,, california,35-44,california,459,69,2,33-43,Serious,Tech,10
34,20,single,f,socially,never,working on college/university,,-1,30/06/2012,"san rafael, california",doesn't want kids,no,, california,18-24,california,313,83,4,18-25,Serious,Healthcare,10
35,27,single,m,socially,never,graduated from college/university,white,-1,24/06/2012,"san francisco, california",,when drinking,, california,25-34,california,21,87,3,22-32,Casual,Other,2
36,26,single,m,,never,,white,-1,27/06/2012,"san francisco, california",,,, california,25-34,california,252,66,6,21-31,Serious,Other,2
37,32,single,m,socially,never,graduated from college/university,white,-1,28/06/2012,"san francisco, california","doesn't have kids, but wants them",when drinking,, california,25-34,california,235,93,6,27-37,Serious,Healthcare,10
38,25,single,m,socially,,working on college/university,"hispani,white",-1,28/06/2012,"oakland, california","doesn't have kids, but might want them",,, california,25-34,california,344,54,4,20-30,Serious,Other,8
39,27,single,f,socially,,,,-1,29/06/2012,"walnut creek, california",,,, california,25-34,california,48,51,4,22-32,Casual,Finance,9
40,35,single,m,socially,,graduated from college/university,white,-1,30/06/2012,"san rafael, california",,no,, california,35-44,california,474,90,2,30-40,Casual,Other,4
